,BukkenName,Price,Address,Space,Type,Belanda,Build,Line,Station,Walk,DaysAgo,City,Street,Number,Latitude,Longitude
2212,六義園第二コーポ,3990,東京都文京区本駒込６-15-5,40.35,1LDK,3.1,1972-01-01,ＪＲ山手線,駒込,3,18914,東京都,文京区,本駒込,35.7344496,139.7474202
2213,エクセレントシティ目白,3990,東京都新宿区下落合２,30.25,1LDK,,2017-12-01,ＪＲ山手線,高田馬場,7,2143,東京都,新宿区,下落合２,35.71819,139.7019868
2214,メゾン文京関口Ⅱ,3990,東京都文京区関口１,36.06,1LDK,3.24,1990-06-01,東京メトロ有楽町線,江戸川橋,2,12188,東京都,文京区,関口１,35.7098188,139.7303961
2215,牛込中央マンション,3990,東京都新宿区弁天町,55.27,2LDK,3.3,1967-05-01,都営大江戸線,牛込柳町,8,20620,東京都,新宿区,弁天町,35.7027036,139.7262455
2216,六義園第二コーポ,3990,東京都文京区本駒込６,40.35,1LDK,3.1,1972-01-01,ＪＲ山手線,駒込,3,18914,東京都,文京区,本駒込６,35.7318717,139.7460429
2217,三番町パークライフ,3990,東京都千代田区三番町20-2,27.0,1K,1.5,1985-11-01,都営新宿線,市ケ谷,3,13861,東京都,千代田区,三番町20-2,35.6909204,139.7404379
2218,六義園第二コーポ,3990,東京都文京区本駒込６,40.35,1LDK,3.1,1972-01-01,東京メトロ南北線,駒込,1,18914,東京都,文京区,本駒込６,35.7318717,139.7460429
2219,目白スターハイツ,3990,東京都新宿区中落合１-12-13,72.59,2LDK+S（納戸）,2.19,1965-04-01,西武新宿線,中井,5,21380,東京都,新宿区,中落合,35.7162261,139.6900606
2220,六義園第二コーポ,3990,東京都文京区本駒込６,40.35,1LDK,3.1,1972-01-01,東京メトロ南北線,駒込,1,18914,東京都,文京区,本駒込６,35.7318717,139.7460429
2221,メゾン文京関口II,3990,東京都文京区関口１,36.06,1K,3.24,1990-06-01,東京メトロ有楽町線,江戸川橋,2,12188,東京都,文京区,関口１,35.7098188,139.7303961
2222,六義園第二コーポ,3990,東京都文京区本駒込６,40.35,1LDK,3.1,1972-01-01,東京メトロ南北線,駒込,1,18914,東京都,文京区,本駒込６,35.7318717,139.7460429
2223,六義園第二コーポ,3990,東京都文京区本駒込６,40.35,1LDK,3.1,1972-01-01,ＪＲ山手線,駒込,3,18914,東京都,文京区,本駒込６,35.7318717,139.7460429
2224,越前堀永谷マンション,3998,東京都中央区新川１,43.9,2DK,5.94,1974-08-01,東京メトロ日比谷線,八丁堀,7,17971,東京都,中央区,新川１,35.6764144,139.7837401
2225,越前堀永谷マンション,3998,東京都中央区新川１,43.9,2DK,5.94,1974-08-01,東京メトロ日比谷線,八丁堀,10,17971,東京都,中央区,新川１,35.6764144,139.7837401
2226,秀和田町レジデンス,3999,東京都港区芝浦２-4-6,40.05,2DK,4.23,1982-01-01,ＪＲ山手線,田町,12,15261,東京都,港区,芝浦,35.6450255,139.7543741
2227,ライオンズマンション護国寺第２,3999,東京都文京区大塚５-25-14,40.13,1LDK,2.35,1983-01-01,東京メトロ丸ノ内線,新大塚,3,14896,東京都,文京区,大塚,35.7238235,139.7294781
2228,秀和田町レジデンス,3999,東京都港区芝浦２,40.05,2DK,4.23,1982-01-01,ＪＲ山手線,田町,12,15261,東京都,港区,芝浦２,35.6446055,139.7530694
2229,藤和シティホームズ芝浦,3999,東京都港区芝浦３,33.81,ワンルーム,6.92,1998-02-01,ＪＲ山手線,田町,7,9386,東京都,港区,芝浦３,35.6437049,139.7479592
2230,秀和田町レジデンス,3999,東京都港区芝浦２,40.05,2DK,4.23,1982-01-01,ＪＲ山手線,田町,12,15261,東京都,港区,芝浦２,35.6446055,139.7530694
2231,フォレストコート本郷菊坂,3999,東京都文京区本郷５,41.19,1LDK,,1998-05-01,都営三田線,春日,4,9297,東京都,文京区,本郷５,35.7109304,139.7581801
2232,カーサ安田,3999,東京都新宿区下落合１,54.27,3LDK,5.27,1984-03-01,西武新宿線,下落合,3,14471,東京都,新宿区,下落合１,35.7158587,139.6997529
2233,メイゾン牛込ヴィオラ棟,4000,東京都新宿区二十騎町,90.95,3LDK,,1970-01-01,都営大江戸線,牛込神楽坂,5,19644,東京都,新宿区,二十騎町,35.69828630000001,139.7316732
